# q (Angstrom^-1), I (counts)
6.026232991837369157e-01,7.596524047851562500e+02
6.082755380266868794e-01,7.712480468750000000e+02
6.139277768696369542e-01,7.695662231445312500e+02
6.195800157125869179e-01,7.699595947265625000e+02
6.252322545555369926e-01,7.700300292968750000e+02
6.308844933984870673e-01,7.679600830078125000e+02
6.365367322414371420e-01,7.638989868164062500e+02
6.421889710843871057e-01,7.644330444335937500e+02
6.478412099273371805e-01,7.587463989257812500e+02
6.534934487702871442e-01,7.592017211914062500e+02
6.591456876132372189e-01,7.572575073242187500e+02
6.647979264561871826e-01,7.632064208984375000e+02
6.704501652991372573e-01,7.614947509765625000e+02
6.761024041420873321e-01,7.584812011718750000e+02
6.817546429850372958e-01,7.605870971679687500e+02
6.874068818279873705e-01,7.569511718750000000e+02
6.930591206709373342e-01,7.586488037109375000e+02
6.987113595138874089e-01,7.577559204101562500e+02
7.043635983568373726e-01,7.534015502929687500e+02
7.100158371997874474e-01,7.497467651367187500e+02
7.156680760427374111e-01,7.514580078125000000e+02
7.213203148856875968e-01,7.490458984375000000e+02
7.269725537286375605e-01,7.490845336914062500e+02
7.326247925715876352e-01,7.488514404296875000e+02
7.382770314145375989e-01,7.485077514648437500e+02
7.439292702574876737e-01,7.472343139648437500e+02
7.495815091004376374e-01,7.454862060546875000e+02
7.552337479433877121e-01,7.457857055664062500e+02
7.608859867863377868e-01,7.433988037109375000e+02
7.665382256292877505e-01,7.425626831054687500e+02
7.721904644722378253e-01,7.438434448242187500e+02
7.778427033151877890e-01,7.425928344726562500e+02
7.834949421581378637e-01,7.434128417968750000e+02
7.891471810010878274e-01,7.407799682617187500e+02
7.947994198440379021e-01,7.384934692382812500e+02
8.004516586869878658e-01,7.372634887695312500e+02
8.061038975299379405e-01,7.357445678710937500e+02
8.117561363728879043e-01,7.338890380859375000e+02
8.174083752158379790e-01,7.348121948242187500e+02
8.230606140587879427e-01,7.336051635742187500e+02
8.287128529017380174e-01,7.311501464843750000e+02
8.343650917446879811e-01,7.309725341796875000e+02
8.400173305876380558e-01,7.293209228515625000e+02
8.456695694305881306e-01,7.301497192382812500e+02
8.513218082735380943e-01,7.298359375000000000e+02
8.569740471164881690e-01,7.300776367187500000e+02
8.626262859594382437e-01,7.285654907226562500e+02
8.682785248023883184e-01,7.264602050781250000e+02
8.739307636453382822e-01,7.258212280273437500e+02
8.795830024882883569e-01,7.238654785156250000e+02
8.852352413312383206e-01,7.244237670898437500e+02
8.908874801741883953e-01,7.245550537109375000e+02
8.965397190171383590e-01,7.245529785156250000e+02
9.021919578600884337e-01,7.231721801757812500e+02
9.078441967030383974e-01,7.217916870117187500e+02
9.134964355459885832e-01,7.201636962890625000e+02
9.191486743889385469e-01,7.189371337890625000e+02
9.248009132318886216e-01,7.171712646484375000e+02
9.304531520748385853e-01,7.148040161132812500e+02
9.361053909177886601e-01,7.171013183593750000e+02
9.417576297607387348e-01,7.171587524414062500e+02
9.474098686036886985e-01,7.148473510742187500e+02
9.530621074466387732e-01,7.125590820312500000e+02
9.587143462895887369e-01,7.122764282226562500e+02
9.643665851325388116e-01,7.118882446289062500e+02
9.700188239754887753e-01,7.129419555664062500e+02
9.756710628184388501e-01,7.125875244140625000e+02
9.813233016613888138e-01,7.109765625000000000e+02
9.869755405043388885e-01,7.104271240234375000e+02
9.926277793472888522e-01,7.067684936523437500e+02
9.982800181902389269e-01,7.060490112304687500e+02
1.003932257033189002e+00,7.057103271484375000e+02
1.009584495876138854e+00,7.053183593750000000e+02
1.015236734719088929e+00,7.042965698242187500e+02
1.020888973562039004e+00,7.022501831054687500e+02
1.026541212404989079e+00,7.012143554687500000e+02
1.032193451247939153e+00,6.995010375976562500e+02
1.037845690090889006e+00,7.003985595703125000e+02
1.043497928933839081e+00,7.002403564453125000e+02
1.049150167776789155e+00,6.973170166015625000e+02
1.054802406619739230e+00,6.988985595703125000e+02
1.060454645462689083e+00,6.975354003906250000e+02
1.066106884305639158e+00,6.960047607421875000e+02
1.071759123148589232e+00,6.953986206054687500e+02
1.077411361991539307e+00,6.954392700195312500e+02
1.083063600834489160e+00,6.957852172851562500e+02
1.088715839677439234e+00,6.953851318359375000e+02
1.094368078520389309e+00,6.942751464843750000e+02
1.100020317363339384e+00,6.915441284179687500e+02
1.105672556206289459e+00,6.904617309570312500e+02
1.111324795049239311e+00,6.894280395507812500e+02
1.116977033892189386e+00,6.884280395507812500e+02
1.122629272735139461e+00,6.891777954101562500e+02
1.128281511578089535e+00,6.885317993164062500e+02
1.133933750421039388e+00,6.887237548828125000e+02
1.139585989263989463e+00,6.883645629882812500e+02
1.145238228106939760e+00,6.883179931640625000e+02
1.150890466949889834e+00,6.870534667968750000e+02
1.156542705792839687e+00,6.863361816406250000e+02
1.162194944635789762e+00,6.850858154296875000e+02
1.167847183478739836e+00,6.831022338867187500e+02
1.173499422321689911e+00,6.810886840820312500e+02
1.179151661164639764e+00,6.806546630859375000e+02
1.184803900007589839e+00,6.807684326171875000e+02
1.190456138850539913e+00,6.816913452148437500e+02
1.196108377693489988e+00,6.792406005859375000e+02
1.201760616536440063e+00,6.777473144531250000e+02
1.207412855379389915e+00,6.774092407226562500e+02
1.213065094222339990e+00,6.761158447265625000e+02
1.218717333065290065e+00,6.754396362304687500e+02
1.224369571908240140e+00,6.754479980468750000e+02
1.230021810751189992e+00,6.743837890625000000e+02
1.235674049594140067e+00,6.738265380859375000e+02
1.241326288437090142e+00,6.739598388671875000e+02
1.246978527280040439e+00,6.718195800781250000e+02
1.252630766122990291e+00,6.727982177734375000e+02
1.258283004965940366e+00,6.710467529296875000e+02
1.263935243808890441e+00,6.700505981445312500e+02
1.269587482651840515e+00,6.684254150390625000e+02
1.275239721494790368e+00,6.675943603515625000e+02
1.280891960337740443e+00,6.677534179687500000e+02
1.286544199180690518e+00,6.680527954101562500e+02
1.292196438023640592e+00,6.669615478515625000e+02
1.297848676866590445e+00,6.649378662109375000e+02
1.303500915709540520e+00,6.650189208984375000e+02
1.309153154552490594e+00,6.638432006835937500e+02
1.314805393395440669e+00,6.633333129882812500e+02
1.320457632238390744e+00,6.637218017578125000e+02
1.326109871081340597e+00,6.614468994140625000e+02
1.331762109924290671e+00,6.601054687500000000e+02
1.337414348767240746e+00,6.596113281250000000e+02
1.343066587610190821e+00,6.577098388671875000e+02
1.348718826453140673e+00,6.562767944335937500e+02
1.354371065296090748e+00,6.573038940429687500e+02
1.360023304139040823e+00,6.584375610351562500e+02
1.365675542981990898e+00,6.560918579101562500e+02
1.371327781824940750e+00,6.549923706054687500e+02
1.376980020667890825e+00,6.547783203125000000e+02
1.382632259510840900e+00,6.540780029296875000e+02
1.388284498353790974e+00,6.528196411132812500e+02
1.393936737196741049e+00,6.520347290039062500e+02
1.399588976039690902e+00,6.521225585937500000e+02
1.405241214882640977e+00,6.505988159179687500e+02
1.410893453725591051e+00,6.500413818359375000e+02
1.416545692568541126e+00,6.497024536132812500e+02
1.422197931411490979e+00,6.493863525390625000e+02
1.427850170254441053e+00,6.465285644531250000e+02
1.433502409097391128e+00,6.463681640625000000e+02
1.439154647940341203e+00,6.462188110351562500e+02
1.444806886783291056e+00,6.455978393554687500e+02
1.450459125626241130e+00,6.435997314453125000e+02
1.456111364469191205e+00,6.429074096679687500e+02
1.461763603312141280e+00,6.424952392578125000e+02
1.467415842155091354e+00,6.422471923828125000e+02
1.473068080998041207e+00,6.417012939453125000e+02
1.478720319840991282e+00,6.407653808593750000e+02
1.484372558683941357e+00,6.399102172851562500e+02
1.490024797526891431e+00,6.395502319335937500e+02
1.495677036369841284e+00,6.388148193359375000e+02
1.501329275212791359e+00,6.377178955078125000e+02
1.506981514055741656e+00,6.370059814453125000e+02
1.512633752898691730e+00,6.382141723632812500e+02
1.518285991741641583e+00,6.370925292968750000e+02
1.523938230584591658e+00,6.354506225585937500e+02
1.529590469427541732e+00,6.347489013671875000e+02
1.535242708270491807e+00,6.354250488281250000e+02
1.540894947113441660e+00,6.349142456054687500e+02
1.546547185956391735e+00,6.334244384765625000e+02
1.552199424799341809e+00,6.318191528320312500e+02
1.557851663642291884e+00,6.307638549804687500e+02
1.563503902485241959e+00,6.307849731445312500e+02
1.569156141328191811e+00,6.303776855468750000e+02
1.574808380171141886e+00,6.291234741210937500e+02
1.580460619014091961e+00,6.294348144531250000e+02
1.586112857857042036e+00,6.283187255859375000e+02
1.591765096699991888e+00,6.281538696289062500e+02
1.597417335542941963e+00,6.276077880859375000e+02
1.603069574385892038e+00,6.276396484375000000e+02
1.608721813228842112e+00,6.271289062500000000e+02
1.614374052071791965e+00,6.256202392578125000e+02
1.620026290914742040e+00,6.248876953125000000e+02
